strike,call_gamma,put_gamma,call_delta,put_delta,call_oi,put_oi,call_vol,put_vol,call_iv,put_iv,call_last,put_last
2600.0,4.175461778933143e-07,4.577653228879937e-07,0.9997512651309707,-0.00027659250468437907,2.0,281.0,2.0,6.0,12.865933418938292,12.946808200724554,4363.4,0.05
2800.0,3.49399142128243e-07,4.100363000656293e-07,0.9998158701179899,-0.00022193976279753194,0.0,2.0,,1.0,11.718529638315347,11.81280679237979,,0.05
3000.0,5.35837646996683e-07,4.0125065571403916e-07,0.9997243757924973,-0.00019694329203536073,0.0,719.0,,10.0,11.02913265270912,10.852822175144569,,0.05
3200.0,6.070895533784955e-07,4.6443370514097495e-07,0.9997100949789586,-0.00021241781738426044,0.0,5.0,,2.0,10.201903915500548,10.046810051721085,,0.05
3400.0,6.886188619971746e-07,6.376407644134802e-07,0.9996950742781394,-0.00027897341149243834,0.0,7.0,,1.0,9.425445809403794,9.378543607098914,,0.19
3600.0,7.826508769199715e-07,8.529487584405305e-07,0.9996791463505337,-0.0003543781483260969,0.0,450.0,,1.0,8.693883515308347,8.748755534137308,,0.05
3800.0,8.920643230941656e-07,1.1204019356930157e-06,0.9996621090074731,-0.00043982128028495466,0.0,629.0,,563.0,8.002305412834163,8.153334803703135,,0.22
4000.0,1.0206418200771061e-06,1.0169065248355405e-06,0.9996437129830741,-0.0003547802221570851,0.0,212.0,,1.0,7.346563522853273,7.344631282658203,,0.05
4200.0,1.17344110373334e-06,1.0119801610598858e-06,0.9996236449204098,-0.0003171191033655637,0.0,352.0,,1.0,6.723123064232315,6.655270093316282,,0.03
4400.0,1.3573591179927833e-06,1.2025431717132449e-06,0.9996015030297067,-0.0003464122189297773,0.0,993.0,,30.0,6.12894743155151,6.075768657255518,,0.05
4600.0,1.582013638117066e-06,1.15779861767711e-06,0.9995767613067197,-0.00029478737046031295,4.0,2140.0,4.0,46.0,5.561408788622541,5.446449467832083,2441.4,0.03
4800.0,1.861166274714742e-06,1.4016176258010329e-06,0.9995487153517819,-0.0003249748417357642,1.0,1621.0,,4.0,5.0182179292734865,4.918232338541562,,0.05
5000.0,2.2151067375115215e-06,1.7191410934919295e-06,0.999516397484115,-0.00036060696906945274,0.0,1505.0,,108.0,4.49736861469451,4.4116884742979465,,0.02
5100.0,2.4292145720737002e-06,1.9150363661238153e-06,0.999498229997318,-0.0003809691376368264,0.0,5936.0,,37.0,4.244761254559868,4.166002943867173,,0.05
5200.0,2.6748237369596277e-06,2.142790145436182e-06,0.9994784390427572,-0.00040338089260619605,0.0,3516.0,,28.0,3.9970928120836615,3.925111855788841,,0.03
5300.0,2.9587266147146005e-06,2.409607831848547e-06,0.999456752765766,-0.00042817818437237753,0.0,10109.0,,4.0,3.754173593452244,3.688832026317583,,0.05
5400.0,3.2896905746736274e-06,2.7248416561202593e-06,0.9994328361055907,-0.0004557742605085709,3.0,361.0,3.0,10.0,3.515824646756457,3.4569906188092085,1642.22,0.03
5475.0,3.57557462060108e-06,3.0003049394719546e-06,0.9994131873869403,-0.0004786126658038966,0.0,191.0,,32.0,3.339960171881266,3.2859237323974675,,0.1
5500.0,3.6791977956657836e-06,3.100804368436716e-06,0.9994062712183991,-0.0004866832749873332,1.0,5630.0,,1.0,3.28187699791398,3.229424387369341,,0.03
5525.0,2.1145264945574574e-06,3.2061000518324377e-06,0.9996946242292465,-0.0004950005330447898,0.0,10.0,,6.0,3.0859572521788863,3.173182538587987,,0.25
5550.0,3.9004922164941665e-06,3.3164997997508e-06,0.9993918361346502,-0.0005035762146545394,0.0,123.0,,1.0,3.1665033285443602,3.1171959051515437,,0.15
5575.0,2.2214598809369167e-06,3.4323331066366534e-06,0.9996907019058798,-0.0005124222764969495,1.0,179.0,1.0,1.0,2.971729971689697,3.0614619709918967,1381.26,0.25
5600.0,4.142532103088805e-06,3.5539662123644e-06,0.9993765301709716,-0.0005215531110047237,0.0,607.0,,61.0,3.05217093360998,3.0059790043944217,,0.05
5625.0,4.272178671194295e-06,4.571694161648134e-06,0.9993685232995483,-0.0006837608401825421,20.0,78.0,20.0,1.0,2.995389268871936,3.019175834716352,1420.6,0.05
5650.0,4.408086164771258e-06,3.816206087202723e-06,0.9993602642717656,-0.0005407234313530963,0.0,380.0,,21.0,2.9388609366872878,2.895755681108913,,0.05
5675.0,4.550677660368744e-06,3.957697387685062e-06,0.9993517399025091,-0.0005507944373638028,0.0,260.0,,250.0,2.882583691166024,2.8410111142539467,,0.05
