strike,call_oi,put_oi,total_oi,net_oi,distance_from_spot,call_volume,put_volume,total_volume
200.0,784,820,1604,-36,-6935.05,2,1,3
400.0,25,15,40,10,-6735.05,1,4,5
600.0,0,1108,1108,-1108,-6535.05,2,1,3
800.0,6,2130,2136,-2124,-6335.05,2,30,32
1000.0,844,3838,4682,-2994,-6135.05,3,1,4
1200.0,67,866,933,-799,-5935.05,1,6,7
1400.0,19,363,382,-344,-5735.05,2,3,5
1600.0,0,462,462,-462,-5535.05,0,9,9
1800.0,1,413,414,-412,-5335.05,1,1,2
2000.0,13,246,259,-233,-5135.05,1,1,2
2200.0,1,501,502,-500,-4935.05,3,20,23
2300.0,0,292,292,-292,-4835.05,0,5,5
2400.0,1,1689,1690,-1688,-4735.05,1,926,927
2500.0,0,8461,8461,-8461,-4635.05,0,1,1
2600.0,23,666,689,-643,-4535.05,1,44,45
2700.0,0,7351,7351,-7351,-4435.05,2,6,8
2800.0,0,479,479,-479,-4335.05,0,242,242
2900.0,0,6966,6966,-6966,-4235.05,30,6,36
3000.0,14,722,736,-708,-4135.05,2,27,29
3100.0,0,5944,5944,-5944,-4035.05,0,3,3
3200.0,1,831,832,-830,-3935.05,1,16,17
3300.0,0,455,455,-455,-3835.05,0,75,75
3400.0,0,1044,1044,-1044,-3735.05,0,1,1
3450.0,2,3091,3093,-3089,-3685.05,4,2,6
3500.0,0,1752,1752,-1752,-3635.05,0,1,1
3550.0,0,3319,3319,-3319,-3585.05,1,6,7
3600.0,0,1870,1870,-1870,-3535.05,0,2,2
3650.0,0,2570,2570,-2570,-3485.05,0,6,6
3700.0,1,1399,1400,-1398,-3435.05,1,2,3
3750.0,0,2300,2300,-2300,-3385.05,0,4,4
3800.0,0,2659,2659,-2659,-3335.05,0,2,2
3850.0,0,6,6,-6,-3285.05,0,0,0
3900.0,0,2406,2406,-2406,-3235.05,0,1,1
3950.0,0,18,18,-18,-3185.05,0,5,5
3975.0,0,1066,1066,-1066,-3160.05,0,6,6
4000.0,123,2816,2939,-2693,-3135.05,1,1,2
4025.0,1,1040,1041,-1039,-3110.05,2,51,53
4050.0,0,89,89,-89,-3085.05,0,15,15
4075.0,0,1154,1154,-1154,-3060.05,0,6,6
4100.0,17,1101,1118,-1084,-3035.05,27,16,43
4125.0,0,943,943,-943,-3010.05,0,4,4
4150.0,17,4132,4149,-4115,-2985.05,27,16,43
4175.0,0,1079,1079,-1079,-2960.05,0,11,11
4200.0,0,2656,2656,-2656,-2935.05,0,21,21
4225.0,0,954,954,-954,-2910.05,0,2,2
4250.0,0,339,339,-339,-2885.05,0,16,16
4275.0,0,1372,1372,-1372,-2860.05,0,1,1
4300.0,0,2886,2886,-2886,-2835.05,0,50,50
4325.0,0,1181,1181,-1181,-2810.05,0,50,50
4350.0,0,310,310,-310,-2785.05,0,16,16
4375.0,0,1085,1085,-1085,-2760.05,0,20,20
4400.0,2,3644,3646,-3642,-2735.05,1,1001,1002
4425.0,0,1002,1002,-1002,-2710.05,0,10,10
4450.0,0,224,224,-224,-2685.05,0,22,22
4475.0,0,1339,1339,-1339,-2660.05,0,1,1
4500.0,14,1633,1647,-1619,-2635.05,8,1,9
4525.0,0,1197,1197,-1197,-2610.05,0,111,111
4550.0,1,249,250,-248,-2585.05,1,6,7
4575.0,1,1665,1666,-1664,-2560.05,2,182,184
4600.0,5,1126,1131,-1121,-2535.05,4,52,56
4625.0,0,883,883,-883,-2510.05,0,1,1
4650.0,0,324,324,-324,-2485.05,0,16,16
4675.0,0,950,950,-950,-2460.05,0,177,177
4700.0,1,1760,1761,-1759,-2435.05,1,460,461
4725.0,4,1809,1813,-1805,-2410.05,6,24,30
4750.0,43,432,475,-389,-2385.05,43,14,57
4775.0,0,1910,1910,-1910,-2360.05,0,113,113
4800.0,5,3391,3396,-3386,-2335.05,1,2277,2278
4825.0,0,51,51,-51,-2310.05,0,2,2
4850.0,1,290,291,-289,-2285.05,1,17,18
4875.0,0,81,81,-81,-2260.05,0,5,5
4900.0,20,2589,2609,-2569,-2235.05,20,8,28
4925.0,0,18,18,-18,-2210.05,0,1,1
4950.0,0,331,331,-331,-2185.05,0,100,100
4975.0,0,39,39,-39,-2160.05,0,2,2
5000.0,331,2890,3221,-2559,-2135.05,5,50,55
5025.0,0,42,42,-42,-2110.05,0,1,1
5050.0,0,751,751,-751,-2085.05,1,57,58
5075.0,0,69,69,-69,-2060.05,0,36,36
5100.0,1,3219,3220,-3218,-2035.05,1,40,41
5110.0,0,20,20,-20,-2025.05,0,18,18
5120.0,0,28,28,-28,-2015.05,0,8,8
5125.0,0,116,116,-116,-2010.05,0,10,10
5130.0,0,94,94,-94,-2005.05,0,11,11
5140.0,0,11,11,-11,-1995.05,0,11,11
5150.0,3,779,782,-776,-1985.05,3,50,53
5160.0,0,52,52,-52,-1975.05,0,14,14
5170.0,0,85,85,-85,-1965.05,0,1,1
5175.0,0,436,436,-436,-1960.05,0,1,1
5180.0,0,147,147,-147,-1955.05,0,126,126
5190.0,0,43,43,-43,-1945.05,0,30,30
5200.0,6,3785,3791,-3779,-1935.05,1,10,11
5210.0,0,11,11,-11,-1925.05,0,3,3
5220.0,0,100,100,-100,-1915.05,0,1,1
5225.0,20,302,322,-282,-1910.05,34,65,99
5230.0,0,40,40,-40,-1905.05,0,5,5
5240.0,0,42,42,-42,-1895.05,0,6,6
5250.0,1,14993,14994,-14992,-1885.05,1,90,91
5260.0,0,93,93,-93,-1875.05,0,64,64
5270.0,0,46,46,-46,-1865.05,0,20,20
5275.0,0,665,665,-665,-1860.05,0,7,7
5280.0,375,24,399,351,-1855.05,0,9,9
5290.0,0,39,39,-39,-1845.05,0,1,1
5300.0,1,41979,41980,-41978,-1835.05,1,8,9
5310.0,0,108,108,-108,-1825.05,0,65,65
5320.0,0,71,71,-71,-1815.05,0,63,63
5325.0,0,241,241,-241,-1810.05,0,25,25
5330.0,0,80,80,-80,-1805.05,0,20,20
5340.0,5,103,108,-98,-1795.05,0,41,41
5350.0,0,36537,36537,-36537,-1785.05,1,11,12
5360.0,0,62,62,-62,-1775.05,0,33,33
5370.0,0,66,66,-66,-1765.05,0,11,11
5375.0,0,2600,2600,-2600,-1760.05,0,13,13
5380.0,0,72,72,-72,-1755.05,0,11,11
5390.0,0,361,361,-361,-1745.05,0,309,309
5400.0,355,60885,61240,-60530,-1735.05,2,27,29
5410.0,100,22,122,78,-1725.05,0,14,14
5420.0,1,61,62,-60,-1715.05,1,34,35
5425.0,3,10381,10384,-10378,-1710.05,27,4,31
5430.0,0,106,106,-106,-1705.05,0,4,4
5440.0,0,53,53,-53,-1695.05,0,4,4
5450.0,3,17361,17364,-17358,-1685.05,1,217,218
5460.0,0,80,80,-80,-1675.05,0,5,5
5470.0,1,122,123,-121,-1665.05,27,27,54
5475.0,0,7038,7038,-7038,-1660.05,0,4,4
5480.0,5,96,101,-91,-1655.05,0,10,10
5490.0,3,200,203,-197,-1645.05,5,99,104
5500.0,16,2930,2946,-2914,-1635.05,3,12,15
5510.0,0,28,28,-28,-1625.05,0,14,14
5520.0,2,261,263,-259,-1615.05,2,207,209
5525.0,3,339,342,-336,-1610.05,6,10,16
5530.0,6,91,97,-85,-1605.05,11,2,13
5540.0,150,47,197,103,-1595.05,3,3,6
5550.0,0,1883,1883,-1883,-1585.05,0,5,5
5560.0,6,93,99,-87,-1575.05,11,5,16
5570.0,3,40,43,-37,-1565.05,6,6,12
5575.0,1,483,484,-482,-1560.05,1,20,21
5580.0,0,208,208,-208,-1555.05,0,1,1
5590.0,4,143,147,-139,-1545.05,4,88,92
5600.0,4,6405,6409,-6401,-1535.05,1,1352,1353
5610.0,0,589,589,-589,-1525.05,10,1,11
5620.0,0,1362,1362,-1362,-1515.05,0,2,2
5625.0,0,211,211,-211,-1510.05,0,1,1
5630.0,50,194,244,-144,-1505.05,50,6,56
5640.0,0,185,185,-185,-1495.05,0,2,2
5650.0,4,901,905,-897,-1485.05,1,2,3
5660.0,0,545,545,-545,-1475.05,0,1,1
5670.0,203,544,747,-341,-1465.05,3,6,9
5675.0,41,964,1005,-923,-1460.05,1,27,28
5680.0,0,351,351,-351,-1455.05,0,249,249
5690.0,6,182,188,-176,-1445.05,0,54,54
5700.0,4,1889,1893,-1885,-1435.05,1,82,83
5710.0,0,374,374,-374,-1425.05,0,40,40
5720.0,0,82,82,-82,-1415.05,0,1,1
5725.0,1,5655,5656,-5654,-1410.05,5,2,7
5730.0,0,155,155,-155,-1405.05,0,4,4
5735.0,0,30,30,-30,-1400.05,0,10,10
5740.0,0,231,231,-231,-1395.05,0,5,5
5745.0,1,9,10,-8,-1390.05,1,10,11
5750.0,3,2493,2496,-2490,-1385.05,1,10,11
5755.0,0,12,12,-12,-1380.05,0,10,10
5760.0,4,234,238,-230,-1375.05,4,3,7
5765.0,0,27,27,-27,-1370.05,0,1,1
5770.0,6,321,327,-315,-1365.05,12,8,20
5775.0,44,6204,6248,-6160,-1360.05,40,13,53
5780.0,3,285,288,-282,-1355.05,7,8,15
5785.0,0,284,284,-284,-1350.05,0,21,21
