strike,call_oi,put_oi,total_oi,net_oi,distance_from_spot,call_volume,put_volume,total_volume
200.0,784,820,1604,-36,-6932.65,2,1,3
400.0,25,15,40,10,-6732.65,1,4,5
600.0,0,1108,1108,-1108,-6532.65,2,1,3
800.0,6,2130,2136,-2124,-6332.65,2,30,32
1000.0,844,3838,4682,-2994,-6132.65,3,1,4
1200.0,67,866,933,-799,-5932.65,1,6,7
1400.0,19,363,382,-344,-5732.65,2,3,5
1600.0,0,462,462,-462,-5532.65,0,9,9
1800.0,1,413,414,-412,-5332.65,1,1,2
2000.0,13,246,259,-233,-5132.65,1,1,2
2200.0,1,501,502,-500,-4932.65,3,20,23
2300.0,0,292,292,-292,-4832.65,0,5,5
2400.0,1,1689,1690,-1688,-4732.65,1,926,927
2500.0,0,8461,8461,-8461,-4632.65,0,1,1
2600.0,23,666,689,-643,-4532.65,1,44,45
2700.0,0,7351,7351,-7351,-4432.65,2,6,8
2800.0,0,479,479,-479,-4332.65,0,242,242
2900.0,0,6966,6966,-6966,-4232.65,30,6,36
3000.0,14,722,736,-708,-4132.65,2,27,29
3100.0,0,5944,5944,-5944,-4032.65,0,3,3
3200.0,1,831,832,-830,-3932.65,1,16,17
3300.0,0,455,455,-455,-3832.65,0,75,75
3400.0,0,1044,1044,-1044,-3732.65,0,1,1
3450.0,2,3091,3093,-3089,-3682.65,4,2,6
3500.0,0,1752,1752,-1752,-3632.65,0,1,1
3550.0,0,3319,3319,-3319,-3582.65,1,6,7
3600.0,0,1870,1870,-1870,-3532.65,0,2,2
3650.0,0,2570,2570,-2570,-3482.65,0,6,6
3700.0,1,1399,1400,-1398,-3432.65,1,2,3
3750.0,0,2300,2300,-2300,-3382.65,0,4,4
3800.0,0,2659,2659,-2659,-3332.65,0,2,2
3850.0,0,6,6,-6,-3282.65,0,0,0
3900.0,0,2406,2406,-2406,-3232.65,0,1,1
3950.0,0,18,18,-18,-3182.65,0,5,5
3975.0,0,1066,1066,-1066,-3157.65,0,6,6
4000.0,123,2816,2939,-2693,-3132.65,1,1,2
4025.0,1,1040,1041,-1039,-3107.65,2,51,53
4050.0,0,89,89,-89,-3082.65,0,15,15
4075.0,0,1154,1154,-1154,-3057.65,0,6,6
4100.0,17,1101,1118,-1084,-3032.65,27,16,43
4125.0,0,943,943,-943,-3007.65,0,4,4
4150.0,17,4132,4149,-4115,-2982.65,27,16,43
4175.0,0,1079,1079,-1079,-2957.65,0,11,11
4200.0,0,2656,2656,-2656,-2932.65,0,21,21
4225.0,0,954,954,-954,-2907.65,0,2,2
4250.0,0,339,339,-339,-2882.65,0,16,16
4275.0,0,1372,1372,-1372,-2857.65,0,1,1
4300.0,0,2886,2886,-2886,-2832.65,0,50,50
4325.0,0,1181,1181,-1181,-2807.65,0,50,50
4350.0,0,310,310,-310,-2782.65,0,16,16
4375.0,0,1085,1085,-1085,-2757.65,0,20,20
4400.0,2,3644,3646,-3642,-2732.65,1,1001,1002
4425.0,0,1002,1002,-1002,-2707.65,0,10,10
4450.0,0,224,224,-224,-2682.65,0,22,22
4475.0,0,1339,1339,-1339,-2657.65,0,1,1
