strike,call_gamma,put_gamma,call_delta,put_delta,call_oi,put_oi,call_vol,put_vol,call_iv,put_iv,call_last,put_last
2600.0,3.124068031594922e-07,4.575889860453592e-07,1.0000000020413906,-0.0002765380329472752,2.0,281.0,2.0,6.0,0.0001604985442203638,13.073048847513514,4363.4,0.05
2800.0,-9.466871465132378e-09,4.098729137344367e-07,0.9999999999072096,-0.00022189462009921117,0.0,2.0,,1.0,0.00016049854408016015,11.928113127082382,,0.05
3000.0,-4.733447065561865e-09,4.0108524490399465e-07,1.0000000000927904,-0.00019690191913132788,0.0,719.0,,10.0,0.00016049854398652303,10.958867957800296,,0.05
3200.0,-3.313405022298387e-08,4.642337771242707e-07,0.999999999814419,-0.00021237122591490561,0.0,5.0,,1.0,0.00016049854386633364,10.145076012756402,,0.05
3400.0,-1.8933765656586675e-08,6.373519260662149e-07,1.0000000000927904,-0.0002789089666425653,0.0,7.0,,1.0,0.0001604985437720666,9.470354233027612,,0.19
3600.0,-1.4200307270095174e-08,8.525432937824172e-07,0.9999999998608143,-0.0003542922417884194,0.0,450.0,,1.0,0.0001604985436860518,8.834482376338746,,0.05
3800.0,4.7334244342605e-09,1.1198435248179363e-06,1.0000000002319762,-0.0004397095454107247,0.0,629.0,,563.0,0.00016049854360278631,8.233309728747152,,0.22
4000.0,-5.680128582378906e-08,1.0163706996105268e-06,0.9999999998608143,-0.0003546850185761177,0.0,212.0,,1.0,0.00016049854351965132,7.416810010927285,,0.05
4200.0,-4.2600967253879986e-08,1.0114163438314245e-06,0.9999999999536048,-0.00031702921377770466,0.0,352.0,,1.0,0.00016049854341551207,6.7207995609241316,,0.03
4400.0,-8.993531375935547e-08,1.2018298062779608e-06,0.9999999994896523,-0.0003463077193569232,0.0,993.0,,30.0,0.00016049854331714135,6.135704431699167,,0.05
4600.0,6.764478027484572e-06,1.157066899721586e-06,0.9975564599992521,-0.00029469275971198163,4.0,2140.0,4.0,46.0,6.6702558991360155,5.50031532928278,2441.4,0.03
4800.0,-8.046846508841712e-08,1.4006621482927961e-06,0.9999999997680238,-0.0003248623818253773,1.0,1621.0,,4.0,0.00016049854308222063,4.966999415829564,,0.05
5000.0,-1.8933788497537e-08,1.717867749580589e-06,1.0000000000463953,-0.0003604714453357366,0.0,1505.0,,108.0,0.00016049854297857632,4.455565923922759,,0.02
5100.0,4.733424478000013e-09,1.9135531368184698e-06,1.0000000001855809,-0.0003808194642122865,0.0,5936.0,,37.0,0.00016049854286095624,4.207508788912478,,0.05
5200.0,-1.893375457094619e-08,2.141050549570921e-06,0.9999999999768023,-0.0004032148301707107,0.0,3516.0,,28.0,0.00016049854274302115,3.9642923549965334,,0.03
5300.0,-1.1833617863749945e-08,2.4075519239196404e-06,1.0000000000463953,-0.00042799299348266753,0.0,10109.0,,4.0,0.00016049854261661334,3.725731672711082,,0.05
