strike,call_gex_m,put_gex_m,net_gex_m,call_oi,put_oi,call_vol,put_vol
2600.0,1.4889980491728521e-05,0.006346558247953606,-0.006331668267461878,2.0,281.0,2.0,6.0
2800.0,-0.0,4.045489119757861e-05,-4.045489119757861e-05,0.0,2.0,0.0,1.0
3000.0,0.0,0.014229522828654,-0.014229522828654,0.0,719.0,0.0,10.0
3200.0,0.0,0.00011450976197480885,-0.00011450976197480885,0.0,5.0,0.0,1.0
3400.0,0.0,0.00022004078795232306,-0.00022004078795232306,0.0,7.0,0.0,1.0
3600.0,0.0,0.018916705874726897,-0.018916705874726897,0.0,450.0,0.0,1.0
3800.0,0.0,0.03472259374451678,-0.03472259374451678,0.0,629.0,0.0,563.0
4000.0,0.0,0.010618256501864038,-0.010618256501864038,0.0,212.0,0.0,1.0
4200.0,-0.0,0.017538425474577558,-0.017538425474577558,0.0,352.0,0.0,1.0
4400.0,0.0,0.058767109448898215,-0.058767109448898215,0.0,993.0,0.0,30.0
4600.0,6.6177759049641075e-06,0.12187808858821353,-0.12187147081230856,4.0,2140.0,4.0,46.0
4800.0,-4.1361024962454705e-07,0.111693417283697,-0.11169383089394662,1.0,1621.0,0.0,4.0
5000.0,0.0,0.12710130768989286,-0.12710130768989286,0.0,1505.0,0.0,108.0
5100.0,0.0,0.5582046338338437,-0.5582046338338437,0.0,5936.0,0.0,37.0
5200.0,0.0,0.36978822766511843,-0.36978822766511843,0.0,3516.0,0.0,28.0
5300.0,-0.0,1.1949774726246412,-1.1949774726246412,0.0,10109.0,0.0,4.0
5400.0,-3.722496768418224e-06,0.048229087044344504,-0.04823280954111292,3.0,361.0,3.0,10.0
5475.0,0.0,0.028083850781857184,-0.028083850781857184,0.0,191.0,0.0,32.0
5500.0,1.861248021713976e-06,0.8553999039672694,-0.8553980427192477,1.0,5630.0,0.0,1.0
5525.0,0.0,0.0015706862436911876,-0.0015706862436911876,0.0,10.0,0.0,6.0
5550.0,-0.0,0.019981184748698862,-0.019981184748698862,0.0,123.0,0.0,1.0
5575.0,1.0340275149319823e-06,0.030088480481284936,-0.030087446453770005,1.0,179.0,1.0,1.0
5600.0,0.0,0.10562782288713553,-0.10562782288713553,0.0,607.0,0.0,61.0
5625.0,4.963329125463763e-05,0.017458947585665657,-0.01740931429441102,20.0,78.0,20.0,1.0
5650.0,0.0,0.07097759262987084,-0.07097759262987084,0.0,380.0,0.0,21.0
