strike,call_gamma,put_gamma,call_delta,put_delta,call_oi,put_oi,call_vol,put_vol,call_iv,put_iv,call_last,put_last
2600.0,-1.462057447418583e-07,4.555732416242499e-07,0.9999999994530173,-0.00027591462269945514,2.0,281.0,2.0,6.0,0.0001144285355750843,18.356718553047614,4363.4,0.05
2800.0,-1.0965431995973922e-07,4.080061050014377e-07,0.9999999996353448,-0.0002213782081061316,0.0,2.0,,1.0,0.00011442853542598194,16.751030373549618,,0.05
3000.0,2.225678346757672e-14,3.9919634632729555e-07,0.9999999998176724,-0.0001964289036243283,0.0,719.0,,10.0,0.00011442853531766262,15.391662470885397,,0.05
3200.0,-3.655138077263395e-08,4.619509669138826e-07,0.9999999994530173,-0.00021183854659070924,0.0,5.0,,1.0,0.00011442853520928018,14.250235969696153,,0.05
3400.0,1.0965429832160174e-07,6.340533158450857e-07,1.0000000003646552,-0.0002781719518082923,0.0,7.0,,1.0,0.00011442853510804835,13.303777182570492,,0.19
3600.0,7.310287310413924e-08,8.479130453112905e-07,1.0000000002734915,-0.00035330976438082757,0.0,450.0,,1.0,0.00011442853498398257,12.411811038032775,,0.05
3800.0,1.4620581334523447e-07,1.1134682081491378e-06,1.0000000000911637,-0.00043843190246990255,0.0,629.0,,563.0,0.00011442853487287999,11.568515004106724,,0.22
4000.0,2.010329742530733e-07,1.0102555451979117e-06,1.0000000002734915,-0.000353596693937143,0.0,212.0,,1.0,0.00011442853476355087,10.423465927856622,,0.05
4200.0,9.137863084508392e-08,1.0049849719204052e-06,1.0,-0.00031600205318147253,0.0,352.0,,1.0,0.00011442853466433864,9.447324901914143,,0.03
4400.0,2.741358485372228e-07,1.1936950477963296e-06,1.000000000455819,-0.00034511383285934586,0.0,993.0,,30.0,0.00011442853456740474,8.626663578219057,,0.05
4600.0,-7.310285153473991e-08,1.1487292800630078e-06,0.9999999994530173,-0.0002936125620846189,4.0,2140.0,4.0,46.0,0.0001144285344645888,7.735548761997307,2441.4,0.03
4800.0,7.310291848839395e-08,1.3897789764768027e-06,1.0,-0.0003235786608565971,1.0,1621.0,,4.0,0.00011442853430650557,6.987511109473672,,0.05
5000.0,1.827573522066371e-08,1.7033710356467663e-06,0.9999999999544181,-0.00035892492860284717,0.0,1505.0,,108.0,0.00011442853421374339,6.270164402069815,,0.02
5100.0,1.2793008001487893e-07,1.8966715309072405e-06,1.0000000001367457,-0.00037911173280287525,0.0,5936.0,,37.0,0.00011442853409961146,5.922233715816999,,0.05
