strike,call_gex_m,put_gex_m,net_gex_m,call_oi,put_oi,call_vol,put_vol
2600.0,6.901130885828206e-05,0.006361173343041619,-0.006292162034183337,2.0,281.0,2.0,6.0
2800.0,0.0,4.0555391407698435e-05,-4.0555391407698435e-05,0.0,2.0,0.0,1.0
3000.0,0.0,0.01426755488121472,-0.01426755488121472,0.0,719.0,0.0,10.0
3200.0,0.0,0.00011484442282134354,-0.00011484442282134354,0.0,5.0,0.0,2.0
3400.0,0.0,0.00022075171818179524,-0.00022075171818179524,0.0,7.0,0.0,1.0
3600.0,0.0,0.018983628696053176,-0.018983628696053176,0.0,450.0,0.0,1.0
3800.0,0.0,0.03485639918911361,-0.03485639918911361,0.0,629.0,0.0,563.0
4000.0,0.0,0.010663323170960335,-0.010663323170960335,0.0,212.0,0.0,1.0
4200.0,0.0,0.017620129464763577,-0.017620129464763577,0.0,352.0,0.0,1.0
4400.0,0.0,0.05906995658652499,-0.05906995658652499,0.0,993.0,0.0,30.0
4600.0,0.0005838538332788664,0.12257097912369216,-0.12198712529041329,4.0,2140.0,4.0,46.0
4800.0,0.00017363968715325436,0.11240461267467407,-0.11223097298752081,1.0,1621.0,0.0,4.0
5000.0,0.0,0.12801358218794415,-0.12801358218794415,0.0,1505.0,0.0,108.0
5100.0,0.0,0.5624706474408357,-0.5624706474408357,0.0,5936.0,0.0,37.0
5200.0,0.0,0.37280397268521603,-0.37280397268521603,0.0,3516.0,0.0,28.0
5300.0,0.0,1.2054027629897672,-1.2054027629897672,0.0,10109.0,0.0,4.0
5400.0,0.0009566679085519064,0.04868045612775511,-0.0477237882192032,3.0,361.0,3.0,10.0
5475.0,0.0,0.02836146104801182,-0.02836146104801182,0.0,191.0,0.0,32.0
5500.0,0.0003592946852016559,0.8640143789951782,-0.8636550843099765,1.0,5630.0,0.0,1.0
5525.0,0.0,0.00158680615442829,-0.00158680615442829,0.0,10.0,0.0,6.0
5550.0,0.0,0.020190210075941444,-0.020190210075941444,0.0,123.0,0.0,1.0
5575.0,0.00039472997148094926,0.030409373636436365,-0.030014643664955418,1.0,179.0,1.0,1.0
5600.0,0.0,0.10677678059660216,-0.10677678059660216,0.0,607.0,0.0,61.0
5625.0,0.0084258348566915,0.017650210040084206,-0.009224375183392705,20.0,78.0,20.0,1.0
5650.0,0.0,0.07178104602999556,-0.07178104602999556,0.0,380.0,0.0,21.0
5675.0,0.0,0.050935524285610004,-0.050935524285610004,0.0,260.0,0.0,250.0
5700.0,0.0,0.4328030029801207,-0.4328030029801207,0.0,2129.0,0.0,127.0
5725.0,0.00966016486433362,0.08126385415723421,-0.07160368929290059,20.0,385.0,20.0,24.0
5750.0,0.0,0.03947259243542396,-0.03947259243542396,0.0,180.0,0.0,82.0
5775.0,0.0005190264827793632,0.08890958132181545,-0.08839055483903609,1.0,390.0,1.0,202.0
5800.0,0.0005385553274289192,0.07660060083641888,-0.07606204550898997,1.0,323.0,1.0,31.0
5825.0,0.011184038325637486,0.044436910741285786,-0.033252872415648296,20.0,180.0,20.0,2.0
5850.0,0.0005810544248798423,0.06172087303022663,-0.061139818605346785,1.0,240.0,1.0,1.0
5875.0,0.01208419898571831,0.032439628117423513,-0.020355429131705204,20.0,121.0,20.0,1.0
5900.0,0.0006287756174980993,0.14963988366584396,-0.14901110804834586,1.0,535.0,1.0,13.0
5925.0,0.013097397203236116,0.13871955124442978,-0.12562215404119367,20.0,475.0,20.0,100.0
5950.0,0.0,0.37964457880686153,-0.37964457880686153,0.0,1244.0,0.0,195.0
5975.0,0.014243666706716306,0.12352607151613582,-0.1092824048094195,20.0,387.0,20.0,3.0
6000.0,0.01357398262575704,0.9516416055570195,-0.9380676229312624,12.0,2848.0,1.0,1.0
6025.0,0.01554771258589707,0.07072671196915975,-0.05517899938326268,20.0,202.0,20.0,65.0
