strike,call_gex_m,put_gex_m,net_gex_m,call_oi,put_oi,call_vol,put_vol
2600.0,8.709210054254343e-05,0.0063588557725557365,-0.006271763672013193,2.0,281.0,2.0,6.0
2800.0,0.0,4.053842031842882e-05,-4.053842031842882e-05,0.0,2.0,0.0,1.0
3000.0,0.0,0.014260782670805657,-0.014260782670805657,0.0,719.0,0.0,10.0
3200.0,0.0,0.00011478131442917962,-0.00011478131442917962,0.0,5.0,0.0,1.0
3400.0,0.0,0.00022060995711169792,-0.00022060995711169792,0.0,7.0,0.0,1.0
3600.0,0.0,0.01896969166878144,-0.01896969166878144,0.0,450.0,0.0,1.0
3800.0,0.0,0.03482751635345753,-0.03482751635345753,0.0,629.0,0.0,563.0
4000.0,0.0,0.010653240770311016,-0.010653240770311016,0.0,212.0,0.0,1.0
4200.0,0.0,0.017601288569760374,-0.017601288569760374,0.0,352.0,0.0,1.0
4400.0,0.0,0.05899805361735717,-0.05899805361735717,0.0,993.0,0.0,30.0
4600.0,0.0007578308312380703,0.12240234670694948,-0.12164451587571141,4.0,2140.0,4.0,46.0
4800.0,0.00022672841892797642,0.11222704955380451,-0.11200032113487654,1.0,1621.0,0.0,4.0
5000.0,0.0,0.1277803949233147,-0.1277803949233147,0.0,1505.0,0.0,108.0
5100.0,0.0,0.5613680452353718,-0.5613680452353718,0.0,5936.0,0.0,37.0
5200.0,0.0,0.3720161428487028,-0.3720161428487028,0.0,3516.0,0.0,28.0
5300.0,0.0,1.2026510501456698,-1.2026510501456698,0.0,10109.0,0.0,4.0
5400.0,0.0012711783014605269,0.048560126831281865,-0.04728894852982134,3.0,361.0,3.0,10.0
5475.0,0.0,0.028286914911690757,-0.028286914911690757,0.0,191.0,0.0,32.0
5500.0,0.00047858074348543727,0.8616955297583434,-0.861216949014858,1.0,5630.0,0.0,1.0
5525.0,0.0,0.0015824571106961326,-0.0015824571106961326,0.0,10.0,0.0,6.0
5550.0,0.0,0.020133682083687696,-0.020133682083687696,0.0,123.0,0.0,1.0
5575.0,0.0005266503158807025,0.030322400929482556,-0.029795750613601853,1.0,179.0,1.0,1.0
5600.0,0.0,0.10646454561855379,-0.10646454561855379,0.0,607.0,0.0,61.0
5625.0,0.011253007010729992,0.01759821757632411,-0.006345210565594117,20.0,78.0,20.0,1.0
5650.0,0.0,0.07156175337290091,-0.07156175337290091,0.0,380.0,0.0,21.0
5675.0,0.0,0.05077642982282469,-0.05077642982282469,0.0,260.0,0.0,250.0
5700.0,0.0,0.4314198461682894,-0.4314198461682894,0.0,2129.0,0.0,127.0
5725.0,0.012923308803278917,0.08099812541906584,-0.06807481661578693,20.0,385.0,20.0,24.0
5750.0,0.0,0.03934048775803081,-0.03934048775803081,0.0,180.0,0.0,82.0
5775.0,0.0006948081527630191,0.08860494688140963,-0.08791013872864661,1.0,390.0,1.0,202.0
5800.0,0.0007211493671453709,0.07633181758794262,-0.07561066822079725,1.0,323.0,1.0,31.0
5825.0,0.014979442144378739,0.04427717919864214,-0.029297737054263397,20.0,180.0,20.0,2.0
5850.0,0.0007783899866227171,0.06149352105205596,-0.06071513106543324,1.0,240.0,1.0,1.0
5875.0,0.016190552336995942,0.032317135025771875,-0.016126582688775933,20.0,121.0,20.0,1.0
5900.0,0.0008425220325419898,0.14906044448503575,-0.14821792245249377,1.0,535.0,1.0,13.0
5925.0,0.017550484152686868,0.13816850816837375,-0.12061802401568689,20.0,475.0,20.0,100.0
5950.0,0.0,0.3780968944976748,-0.3780968944976748,0.0,1244.0,0.0,195.0
5975.0,0.01908472225160233,0.12300906168965248,-0.10392433943805014,20.0,387.0,20.0,3.0
6000.0,0.017543198262853114,0.947550558047725,-0.9300073597848719,12.0,2848.0,1.0,1.0
6025.0,0.020824455463500337,0.07041427656818632,-0.049589821104685974,20.0,202.0,20.0,65.0
6030.0,0.0,0.00598216788120255,-0.00598216788120255,0.0,17.0,0.0,1.0
6040.0,-0.0,0.12875288187251294,-0.12875288187251294,0.0,359.0,0.0,50.0
6050.0,0.0032674592955923834,0.23543546190170114,-0.23216800260610876,3.0,644.0,1.0,510.0
6060.0,0.0,0.009690693411730131,-0.009690693411730131,0.0,26.0,0.0,1.0
6070.0,0.0,0.011781811099343582,-0.011781811099343582,0.0,31.0,0.0,3.0
6075.0,0.0228081811214568,0.052581540279131235,-0.029773359157674435,20.0,137.0,20.0,12.0
6080.0,0.0,0.03062112009899989,-0.03062112009899989,0.0,79.0,0.0,38.0
6090.0,0.0011728877030954504,0.035584127320932434,-0.034411239617836986,1.0,90.0,1.0,28.0
6100.0,0.0011953042965176953,0.25816139922271003,-0.2569660949261923,1.0,640.0,10.0,49.0
6110.0,0.001218359365144679,0.1094888043402569,-0.10827044497511222,1.0,266.0,2.0,16.0
6120.0,0.0,0.03864857118868309,-0.03864857118868309,0.0,92.0,0.0,40.0
6125.0,0.0012541930807159261,0.08106596459865112,-0.0798117715179352,1.0,191.0,1.0,2.0
6130.0,0.0,0.034306432304419,-0.034306432304419,0.0,80.0,0.0,68.0
6140.0,0.0,0.03196189086151017,-0.03196189086151017,0.0,73.0,0.0,60.0
6150.0,0.00526989264375035,0.1734806993675071,-0.16821080672375674,4.0,388.0,4.0,223.0
6160.0,0.0,0.16851680205103164,-0.16851680205103164,0.0,369.0,0.0,10.0
6170.0,0.0013715584955931092,0.09984295220013067,-0.09847139370453757,1.0,214.0,1.0,3.0
6175.0,0.041567793359494315,0.08583265287005906,-0.04426485951056475,30.0,182.0,20.0,2.0
6180.0,0.002799682802342835,0.032418329032098694,-0.02961864622975586,2.0,68.0,1.0,18.0
6185.0,0.0,0.03421873338727961,-0.03421873338727961,0.0,71.0,0.0,13.0
6190.0,0.0028579931555961055,0.09550129952134984,-0.09264330636575373,2.0,196.0,2.0,1.0
6195.0,0.0,0.021675880298855525,-0.021675880298855525,0.0,44.0,0.0,3.0
6200.0,0.0014590603292724187,0.20372428803175355,-0.20226522770248112,1.0,409.0,1.0,4.0
6205.0,0.0,0.038278283618026474,-0.038278283618026474,0.0,76.0,4.0,1.0
6210.0,0.0,0.041763544460694906,-0.041763544460694906,0.0,82.0,0.0,1.0
6215.0,0.0,0.06077631054867883,-0.06077631054867883,0.0,118.0,0.0,1.0
6220.0,0.0,0.024481856348936657,-0.024481856348936657,0.0,47.0,0.0,11.0
6225.0,0.004615351591656211,0.05320928538392795,-0.04859393379227173,3.0,101.0,3.0,21.0
6230.0,0.0,0.09111867858878298,-0.09111867858878298,0.0,171.0,0.0,3.0
6235.0,0.0,0.025332635961562208,-0.025332635961562208,0.0,47.0,0.0,5.0
6240.0,0.0,0.21100413887932196,-0.21100413887932196,0.0,387.0,0.0,57.0
6245.0,0.0016066646538718705,0.023166122247721244,-0.021559457593849373,1.0,42.0,1.0,12.0
6250.0,0.008122095550667252,0.19809946900583625,-0.189977373455169,5.0,355.0,1.0,2.0
6255.0,0.004927398899432703,0.37206468047002295,-0.3671372815705902,3.0,659.0,1.0,614.0
6260.0,0.0066432508102122,0.03199091104788288,-0.025347660237670683,4.0,56.0,1.0,19.0
6265.0,0.0016794649807964858,0.04104216634887821,-0.039362701368081725,1.0,71.0,1.0,59.0
6270.0,0.0033968599649550407,0.07253624622920524,-0.0691393862642502,2.0,124.0,2.0,1.0
6275.0,0.03607200971307121,0.14563253489356984,-0.10956052518049864,21.0,246.0,20.0,2.0
6280.0,0.012161285629924893,1.8028690325907233,-1.7907077469607984,7.0,3009.0,1.0,36.0
6285.0,0.0,0.029109251404663302,-0.029109251404663302,0.0,48.0,0.0,1.0
6290.0,0.0017775610715296908,0.028851269663437176,-0.027073708591907483,1.0,47.0,1.0,1.0
6295.0,0.0017981993943158461,0.02609897495723635,-0.024300775562920502,1.0,42.0,1.0,27.0
6300.0,0.018191958167890748,0.527804857452545,-0.5096128992846543,10.0,839.0,1.0,6.0
6305.0,0.0018405586842010207,0.06560190424129791,-0.0637613455570969,1.0,103.0,1.0,52.0
6310.0,0.007449186343109136,0.09544202477619083,-0.0879928384330817,4.0,148.0,1.0,123.0
6315.0,0.0188441836316839,2.2142961854005754,-2.1954520017688917,10.0,3391.0,10.0,1157.0
6320.0,0.0019069331268328573,0.052900475092831516,-0.05099354196599866,1.0,80.0,1.0,8.0
6325.0,0.003859700498215211,0.29599582089699505,-0.29213612039877984,2.0,442.0,1.0,4.0
6330.0,0.011719080970821399,0.14311064854313674,-0.13139156757231535,6.0,211.0,3.0,29.0
6335.0,0.0059308550262379975,0.14907618791412752,-0.14314533288788953,3.0,217.0,3.0,54.0
6340.0,0.010005921896624343,0.30480001567799514,-0.2947940937813708,5.0,438.0,1.0,306.0
6345.0,0.0,0.04723258420119077,-0.04723258420119077,0.0,67.0,0.0,41.0
6350.0,0.07178790639007254,0.27782841813594283,-0.2060405117458703,35.0,389.0,6.0,16.0
6355.0,0.01869097409034419,0.12084766498887037,-0.10215669089852618,9.0,167.0,1.0,1.0
6360.0,0.008411918838781793,0.07772440355047174,-0.06931248471168994,4.0,106.0,1.0,8.0
6365.0,0.0021297118090190833,0.0601868701336698,-0.05805715832465072,1.0,81.0,1.0,8.0
6370.0,0.00862794217558424,0.21687543686700028,-0.20824749469141604,4.0,288.0,1.0,1.0
6375.0,0.024032974752094056,0.47930843543960383,-0.4552754606875098,11.0,628.0,1.0,507.0
6380.0,0.0066396573124899915,0.24369377820774973,-0.23705412089525973,3.0,315.0,1.0,10.0
6385.0,0.02914873990429924,0.0352914699855008,-0.006142730081201558,13.0,45.0,1.0,23.0
6390.0,0.030031197978661505,0.044526050619709955,-0.01449485264104845,9.0,56.0,4.0,12.0
6395.0,0.018416221994008785,1.835711221278324,-1.8172949992843153,8.0,2277.0,1.0,8.0
6400.0,0.08631687402180775,0.7169734832731544,-0.6306566092513466,37.0,877.0,2.0,2.0
6405.0,0.011822043734118217,0.12037449933657285,-0.10855245560245463,5.0,119.0,6.0,69.0
6410.0,0.03355251065501171,0.20010075068763558,-0.16654824003262386,14.0,195.0,4.0,50.0
6415.0,0.004859012121468571,0.17282122614763648,-0.1679622140261679,2.0,166.0,1.0,73.0
6420.0,0.019704992605610948,0.21338478820526713,-0.19367979559965617,8.0,202.0,1.0,1.0
6425.0,0.054944639190227136,0.36661719025807216,-0.311672551067845,22.0,342.0,5.0,1.0
6430.0,0.030391285293741875,0.1544895532273605,-0.12409826793361861,12.0,142.0,1.0,87.0
6435.0,0.010435576179815357,0.18331377102591415,-0.1728781948460988,5.0,166.0,9.0,74.0
6440.0,0.0234471632785586,0.15470138321793706,-0.13125421993937847,9.0,138.0,2.0,7.0
6445.0,0.018499596960337684,0.1900696577233916,-0.17157006076305392,7.0,167.0,2.0,89.0
