strike,call_gamma,put_gamma,call_delta,put_delta,call_oi,put_oi,call_vol,put_vol,call_iv,put_iv,call_last,put_last
2600.0,6.46343837082811e-07,4.5616321321463586e-07,0.9995867116708558,-0.0002760972232452608,2.0,281.0,2.0,6.0,15.096486035286937,14.628062836693887,4363.4,0.05
2800.0,7.407446100161427e-07,4.085520913366581e-07,0.9995587904161014,-0.0002215293612646848,0.0,2.0,,1.0,14.004869459584254,13.348055089866582,,0.05
3000.0,8.488300286826482e-07,3.997483115817609e-07,0.9995291414019223,-0.00019656721825009094,0.0,719.0,,10.0,12.990402615322337,12.264426186290693,,0.05
3200.0,9.733702087878169e-07,4.6261804234023295e-07,0.9994974490749345,-0.00021199433337532451,0.0,5.0,,1.0,12.042924406733603,11.354553580638933,,0.05
3400.0,1.1178605268860793e-06,6.350177642318895e-07,0.9994633435231483,-0.00027838764479664165,0.0,7.0,,1.0,11.154153710521488,10.600123215498368,,0.19
3600.0,1.2867637260439397e-06,8.492669902781029e-07,0.9994263836785136,-0.0003535973420819693,0.0,450.0,,1.0,10.317253264823735,9.889130993726933,,0.05
3800.0,1.4858510390507839e-06,1.1153320332619686e-06,0.9993860353714485,-0.0004388058082183214,0.0,629.0,,563.0,9.526512553508786,9.21693580743413,,0.22
4000.0,1.7226916608718814e-06,1.0120426887765387e-06,0.9993416418747656,-0.00035391511652349176,0.0,212.0,,1.0,8.777113343019714,8.304125432566607,,0.05
4200.0,2.0073692821059293e-06,1.0068636880675755e-06,0.9992923834238333,-0.00031630251606047633,0.0,352.0,,1.0,8.064953604832693,7.525983585312634,,0.03
4400.0,2.353554442906653e-06,1.1960712713875702e-06,0.9992372203779862,-0.00034546314607112856,0.0,993.0,,30.0,7.3865120832583395,6.871807018858534,,0.05
4600.0,2.780150044335361e-06,1.1511618085679718e-06,0.9991748114692915,-0.00029392814360089983,4.0,2140.0,4.0,46.0,6.738743919444103,6.161441943415031,2441.4,0.03
4800.0,3.313888498761363e-06,1.3929537113544705e-06,0.9991033932739234,-0.00032395369471472106,1.0,1621.0,,4.0,6.118998464995438,5.56515682710062,,0.05
5000.0,3.993994121794284e-06,1.7075988003590931e-06,0.9990205394314381,-0.0003593766676894986,0.0,1505.0,,108.0,5.510593752672888,4.993337218765299,,0.02
5100.0,4.408361281098591e-06,1.9015934787380984e-06,0.9989735554390294,-0.0003796103889416661,0.0,5936.0,,37.0,5.201216429541427,4.71599101639355,,0.05
5200.0,4.88669423307058e-06,2.127028059307711e-06,0.9989220079407305,-0.0004018737661343464,0.0,3516.0,,28.0,4.897872656979893,4.444057113312236,,0.03
5300.0,6.9915871897702334e-06,2.390984293703439e-06,0.9984598629004094,-0.00042649772647298904,0.0,10109.0,,4.0,4.697182376905359,4.177328316621786,,0.05
5400.0,6.096131813202282e-06,2.702649182546224e-06,0.9988020076713744,-0.0004538898358184798,3.0,361.0,3.0,10.0,4.308375942646517,3.9156096132808513,1642.22,0.03
5475.0,6.6634336133305405e-06,2.9748396136637315e-06,0.9987498603827287,-0.00047655130598872207,0.0,191.0,,32.0,4.092950344415487,3.722497556044079,,0.1
5500.0,6.869741426927522e-06,3.0741048340016266e-06,0.9987314509372436,-0.00048455656528159614,1.0,5630.0,,1.0,4.0217996805582565,3.658716667823066,,0.03
5525.0,7.085552578563838e-06,3.1780918039204327e-06,0.9987124865232175,-0.0004928061690819531,0.0,10.0,,6.0,3.950973155150988,3.5952268326287546,,0.25
5550.0,7.311466226209641e-06,3.287094898943885e-06,0.9986929410763566,-0.0005013104050559696,0.0,123.0,,1.0,3.880467693382644,3.532024755961719,,0.15
5575.0,7.548132740301374e-06,3.4014481881788227e-06,0.9986727862306023,-0.000510083047733248,1.0,179.0,1.0,1.0,3.810280417247337,3.4691086798425625,1381.26,0.25
5600.0,7.796256012118438e-06,3.5214948104314287e-06,0.9986519917530575,-0.0005191355477225297,0.0,607.0,,61.0,3.7404084737563026,3.4064752137448324,,0.05
5625.0,8.05659884765182e-06,4.529692841832638e-06,0.9986305253870781,-0.0006805749483739203,20.0,78.0,20.0,1.0,3.670849036190267,3.421319811863033,1420.6,0.05
5650.0,1.0773837402225785e-05,3.7802343718916687e-06,0.9980968284489966,-0.0005381380622030391,0.0,380.0,,21.0,3.6953697124238447,3.282046898819739,,0.05
5675.0,8.617326115887306e-06,3.919790233381788e-06,0.9985854367624838,-0.0005481186677536176,0.0,260.0,,250.0,3.532656630294165,3.2202470920214705,,0.05
5700.0,8.919588958444675e-06,4.066774455120347e-06,0.99856173820876,-0.0005584408633965217,0.0,2129.0,,127.0,3.464018213984915,3.1587202181092255,,0.03
5725.0,9.237844392863553e-06,4.221720768054556e-06,0.9985372147292192,-0.0005691229553628218,20.0,385.0,20.0,24.0,3.3956814171909993,3.0974639953856107,1323.9,0.1
5750.0,9.573256872511954e-06,4.3852108441829455e-06,0.9985118209468079,-0.0005801844622870238,0.0,180.0,,82.0,3.327643610262943,3.0364761198783485,,0.05
5775.0,9.927099414470586e-06,4.557876571152148e-06,0.9984855081047606,-0.0005916457721469762,1.0,390.0,1.0,202.0,3.2599021903308874,2.9757540830229208,1254.22,0.05
