strike,call_oi,put_oi,total_oi,net_oi,distance_from_spot,call_volume,put_volume,total_volume
6510.0,59,303,362,-244,-733.51,10,5,15
6515.0,7,55,62,-48,-728.51,2,4,6
6520.0,85,1313,1398,-1228,-723.51,74,2,76
6525.0,43,1051,1094,-1008,-718.51,1,7,8
6530.0,52,266,318,-214,-713.51,4,9,13
6535.0,1,325,326,-324,-708.51,1,1,2
6540.0,59,317,376,-258,-703.51,10,10,20
6545.0,1,285,286,-284,-698.51,2,38,40
6550.0,467,1151,1618,-684,-693.51,19,100,119
6555.0,2,92,94,-90,-688.51,2,3,5
6560.0,45,262,307,-217,-683.51,4,5,9
6565.0,1,268,269,-267,-678.51,4,59,63
6570.0,164,250,414,-86,-673.51,2,120,122
6575.0,464,338,802,126,-668.51,4,189,193
6580.0,389,1218,1607,-829,-663.51,1,729,730
6585.0,4,206,210,-202,-658.51,1,152,153
6590.0,70,364,434,-294,-653.51,1,72,73
6595.0,17,982,999,-965,-648.51,1,40,41
6600.0,578,3388,3966,-2810,-643.51,5,221,226
6605.0,58,109,167,-51,-638.51,1,13,14
6610.0,102,200,302,-98,-633.51,84,47,131
6615.0,11,144,155,-133,-628.51,5,1,6
6620.0,176,145,321,31,-623.51,6,20,26
6625.0,146,768,914,-622,-618.51,1,60,61
6630.0,659,663,1322,-4,-613.51,10,12,22
6635.0,41,629,670,-588,-608.51,2,587,589
6640.0,128,408,536,-280,-603.51,6,63,69
6645.0,5,138,143,-133,-598.51,3,35,38
6650.0,193,4340,4533,-4147,-593.51,2,85,87
6655.0,1,199,200,-198,-588.51,2,55,57
6660.0,565,361,926,204,-583.51,20,9,29
6665.0,2,240,242,-238,-578.51,3,1,4
6670.0,272,204,476,68,-573.51,4,141,145
6675.0,303,1205,1508,-902,-568.51,2,266,268
6680.0,202,3362,3564,-3160,-563.51,1,389,390
6685.0,4,1460,1464,-1456,-558.51,2,74,76
6690.0,44,657,701,-613,-553.51,9,371,380
6695.0,13,306,319,-293,-548.51,1,60,61
6700.0,1240,3590,4830,-2350,-543.51,26,3,29
6705.0,3,308,311,-305,-538.51,6,250,256
6710.0,114,516,630,-402,-533.51,2,174,176
6715.0,4,689,693,-685,-528.51,5,141,146
6720.0,226,1841,2067,-1615,-523.51,66,401,467
6725.0,389,951,1340,-562,-518.51,16,271,287
6730.0,156,312,468,-156,-513.51,1,64,65
6735.0,3,409,412,-406,-508.51,1,89,90
6740.0,126,250,376,-124,-503.51,10,60,70
6745.0,4,211,215,-207,-498.51,4,67,71
6750.0,514,1956,2470,-1442,-493.51,176,182,358
6755.0,56,832,888,-776,-488.51,47,36,83
6760.0,895,528,1423,367,-483.51,6,53,59
6765.0,11,315,326,-304,-478.51,9,4,13
6770.0,141,1236,1377,-1095,-473.51,29,106,135
6775.0,380,1420,1800,-1040,-468.51,11,62,73
6780.0,241,910,1151,-669,-463.51,32,120,152
6785.0,44,340,384,-296,-458.51,40,178,218
6790.0,101,926,1027,-825,-453.51,10,10,20
6795.0,4,778,782,-774,-448.51,1,49,50
6800.0,1054,8214,9268,-7160,-443.51,182,16,198
6805.0,51,755,806,-704,-438.51,20,123,143
6810.0,90,1238,1328,-1148,-433.51,23,171,194
6815.0,17,662,679,-645,-428.51,8,20,28
6820.0,148,3559,3707,-3411,-423.51,25,9,34
6825.0,420,4407,4827,-3987,-418.51,12,4,16
6830.0,143,510,653,-367,-413.51,25,174,199
6835.0,43,918,961,-875,-408.51,7,1,8
6840.0,234,992,1226,-758,-403.51,33,6,39
6845.0,126,605,731,-479,-398.51,91,211,302
6850.0,837,6246,7083,-5409,-393.51,47,5,52
