strike,call_gex_m,put_gex_m,net_gex_m,call_oi,put_oi,call_vol,put_vol
2600.0,3.9311576374342903e-05,0.006352017724847006,-0.006312706148472663,2.0,281.0,2.0,6.0
2800.0,0.0,4.049200672388074e-05,-4.049200672388074e-05,0.0,2.0,0.0,1.0
3000.0,0.0,0.014243423961530288,-0.014243423961530288,0.0,719.0,0.0,10.0
3200.0,0.0,0.00011463064419065699,-0.00011463064419065699,0.0,5.0,0.0,1.0
3400.0,0.0,0.0002202944448536311,-0.0002202944448536311,0.0,7.0,0.0,1.0
3600.0,0.0,0.01894034109833603,-0.01894034109833603,0.0,450.0,0.0,1.0
3800.0,0.0,0.03476943167865872,-0.03476943167865872,0.0,629.0,0.0,563.0
4000.0,0.0,0.010633885151850946,-0.010633885151850946,0.0,212.0,0.0,1.0
4200.0,0.0,0.017566525966824075,-0.017566525966824075,0.0,352.0,0.0,1.0
4400.0,0.0,0.05887041182383778,-0.05887041182383778,0.0,993.0,0.0,30.0
4600.0,0.0031124817586364387,0.12211270140191594,-0.1190002196432795,4.0,2140.0,4.0,46.0
4800.0,0.00014855366995701087,0.11193236087341127,-0.11178380720345425,1.0,1621.0,0.0,4.0
5000.0,0.0,0.12740553205730243,-0.12740553205730243,0.0,1505.0,0.0,108.0
5100.0,0.0,0.5596221189793557,-0.5596221189793557,0.0,5936.0,0.0,37.0
5200.0,0.0,0.3707867232783529,-0.3707867232783529,0.0,3516.0,0.0,28.0
5300.0,0.0,1.1984171629954037,-1.1984171629954037,0.0,10109.0,0.0,4.0
5400.0,-1.1914848004802808e-05,0.04837749722386752,-0.04838941207187232,3.0,361.0,3.0,10.0
5475.0,0.0,0.028174895445010117,-0.028174895445010117,0.0,191.0,0.0,32.0
5500.0,0.002038478228996613,0.8582224152871131,-0.8561839370581165,1.0,5630.0,0.0,1.0
5525.0,0.0,0.0015759630811859775,-0.0015759630811859775,0.0,10.0,0.0,6.0
5550.0,0.0,0.02004956220542344,-0.02004956220542344,0.0,123.0,0.0,1.0
5575.0,-1.7267840196743837e-07,0.030193368687247975,-0.03019354136564994,1.0,179.0,1.0,1.0
5600.0,0.0,0.10600300898767363,-0.10600300898767363,0.0,607.0,0.0,61.0
5625.0,1.7267881126216043e-05,0.017521396170756258,-0.017504128289630043,20.0,78.0,20.0,1.0
5650.0,0.0,0.07123953773316138,-0.07123953773316138,0.0,380.0,0.0,21.0
5675.0,0.0,0.050543268624253596,-0.050543268624253596,0.0,260.0,0.0,250.0
5700.0,0.0,0.42939998106900035,-0.42939998106900035,0.0,2129.0,0.0,127.0
5725.0,0.00489914453042571,0.08061131210258897,-0.07571216757216326,20.0,385.0,20.0,24.0
5750.0,-0.0,0.03914875014409047,-0.03914875014409047,0.0,180.0,0.0,82.0
5775.0,0.0027706836115370323,0.08816413376986527,-0.08539345015832825,1.0,390.0,1.0,202.0
5800.0,0.0002720036001483073,0.0759440488097608,-0.07567204520961249,1.0,323.0,1.0,31.0
5825.0,0.005640518443135191,0.04404742416500145,-0.03840690572186626,20.0,180.0,20.0,2.0
5850.0,0.0007407874571129231,0.06116747031979521,-0.06042668286268229,1.0,240.0,1.0,1.0
5875.0,-2.4175072672594225e-05,0.032141981725453385,-0.032166156798125976,20.0,121.0,20.0,1.0
5900.0,0.0007180495964283274,0.1482343249913935,-0.14751627539496517,1.0,535.0,1.0,13.0
5925.0,0.006565341704502693,0.13738515673621185,-0.13081981503170917,20.0,475.0,20.0,100.0
5950.0,0.0,0.3759030939387068,-0.3759030939387068,0.0,1244.0,0.0,195.0
5975.0,0.00711651304909801,0.12227831877793978,-0.11516180572884177,20.0,387.0,20.0,3.0
6000.0,-8.288596492445858e-06,0.941784771669757,-0.9417930602662495,12.0,2848.0,1.0,1.0
6025.0,0.007741160137531132,0.06997519075437855,-0.06223403061684742,20.0,202.0,20.0,65.0
6030.0,-0.0,0.005944679295351204,-0.005944679295351204,0.0,17.0,0.0,1.0
6040.0,0.0,0.12793793957739433,-0.12793793957739433,0.0,359.0,0.0,50.0
6050.0,0.0012127898292824122,0.23393022015705842,-0.232717430327776,3.0,644.0,1.0,510.0
6060.0,-0.0,0.009628105653997757,-0.009628105653997757,0.0,26.0,0.0,1.0
6070.0,0.0,0.011704936456829768,-0.011704936456829768,0.0,31.0,0.0,3.0
6075.0,0.011585912473986371,0.052236685332209404,-0.040650772858223036,20.0,137.0,20.0,12.0
6080.0,-0.0,0.030419252936751413,-0.030419252936751413,0.0,79.0,0.0,38.0
6090.0,0.00043431861420619567,0.03534709246394383,-0.034912773849737636,1.0,90.0,1.0,28.0
6100.0,0.0004423650812696602,0.25642361057249197,-0.2559812454912223,1.0,640.0,10.0,49.0
6110.0,0.00045064108970365417,0.10874396205362183,-0.10829332096391818,1.0,266.0,2.0,16.0
6120.0,0.0,0.038382831153034036,-0.038382831153034036,0.0,92.0,0.0,40.0
6125.0,0.0047724415562535195,0.08050557275825315,-0.07573313120199963,1.0,191.0,1.0,2.0
6130.0,0.0,0.034067997967972274,-0.034067997967972274,0.0,80.0,0.0,68.0
6140.0,-0.0,0.03173732849650435,-0.03173732849650435,0.0,73.0,0.0,60.0
6150.0,0.003335125626998213,0.1722484195109892,-0.16891329388399098,4.0,388.0,4.0,223.0
6160.0,0.0,0.16730648726682723,-0.16730648726682723,0.0,369.0,0.0,10.0
6170.0,-8.633955458178371e-07,0.0991178259233959,-0.09911868931894172,1.0,214.0,1.0,3.0
6175.0,0.1548575943019319,0.08520577035372612,0.0696518239482058,30.0,182.0,20.0,2.0
6180.0,0.011404336293347656,0.03218022155996762,-0.020775885266619967,2.0,68.0,1.0,18.0
6185.0,0.0,0.03396597439943818,-0.03396597439943818,0.0,71.0,0.0,13.0
6190.0,-2.0721493508616054e-06,0.09479180040988128,-0.09479387255923213,2.0,196.0,2.0,1.0
6195.0,0.0,0.021513940200473123,-0.021513940200473123,0.0,44.0,0.0,3.0
6200.0,-1.381432227660964e-06,0.20219342557899705,-0.20219480701122472,1.0,409.0,1.0,4.0
6205.0,-0.0,0.037989001136348274,-0.037989001136348274,0.0,76.0,4.0,1.0
6210.0,0.0,0.041446043129927126,-0.041446043129927126,0.0,82.0,0.0,1.0
6215.0,0.0,0.06031159508600982,-0.06031159508600982,0.0,118.0,0.0,1.0
6220.0,-0.0,0.024293560209157874,-0.024293560209157874,0.0,47.0,0.0,11.0
6225.0,-2.5901867427077696e-07,0.05279765285027551,-0.05279791186894978,3.0,101.0,3.0,21.0
6230.0,0.0,0.0904095258838159,-0.0904095258838159,0.0,171.0,0.0,3.0
6235.0,0.0,0.02513430547211178,-0.02513430547211178,0.0,47.0,0.0,5.0
6240.0,0.0,0.2093421249287602,-0.2093421249287602,0.0,387.0,0.0,57.0
6245.0,0.0008155380844100362,0.022982578614518814,-0.02216704053010878,1.0,42.0,1.0,12.0
6250.0,-3.021884598650606e-06,0.19652035350126376,-0.19652337538586243,5.0,355.0,1.0,2.0
6255.0,-7.770556325969426e-06,0.36908078284172147,-0.3690885533980474,3.0,659.0,1.0,614.0
6260.0,1.3814329652640077e-06,0.031732779848846884,-0.03173139841588162,4.0,56.0,1.0,19.0
6265.0,0.001438918429802969,0.04070896537274552,-0.03927004694294255,1.0,71.0,1.0,59.0
6270.0,0.013682643882568925,0.07194372078855998,-0.058261076905991055,2.0,124.0,2.0,1.0
6275.0,-3.444947073830863e-05,0.14443551803519114,-0.14446996750592944,21.0,246.0,20.0,2.0
6280.0,0.04888595368821107,1.7879579172938012,-1.73907196360559,7.0,3009.0,1.0,36.0
6285.0,0.0,0.028866983769418052,-0.028866983769418052,0.0,48.0,0.0,1.0
6290.0,-9.497345054745344e-07,0.028609633352535482,-0.028610583087040956,1.0,47.0,1.0,1.0
6295.0,-1.0360747508129052e-06,0.02587900251277808,-0.02588003858752889,1.0,42.0,1.0,27.0
6300.0,0.01733209778258269,0.5233279243014759,-0.5059958265188932,10.0,839.0,1.0,6.0
6305.0,0.0017536160103404576,0.06504188741191906,-0.0632882714015786,1.0,103.0,1.0,52.0
6310.0,0.007097527706471697,0.09462201907726138,-0.08752449137078969,4.0,148.0,1.0,123.0
6315.0,0.009590321059231407,2.195148296315301,-2.1855579752560694,10.0,3391.0,10.0,1157.0
6320.0,-1.3814330326267425e-06,0.05244004013969231,-0.05244142157272493,1.0,80.0,1.0,8.0
6325.0,0.0024623276396347838,0.29340263554960677,-0.290940307909972,2.0,442.0,1.0,4.0
6330.0,0.007479145413636727,0.14184860268856447,-0.13436945727492774,6.0,211.0,3.0,29.0
6335.0,0.0021711894782476208,0.14775281328928866,-0.14558162381104103,3.0,217.0,3.0,54.0
6340.0,0.036332891182350405,0.3020762033418163,-0.2657433121594659,5.0,438.0,1.0,306.0
6345.0,-0.0,0.04680766327851955,-0.04680766327851955,0.0,67.0,0.0,41.0
6350.0,0.02627024567518826,0.2753121087934235,-0.24904186311823523,35.0,389.0,6.0,16.0
6355.0,0.0034255975308632018,0.11974571080428947,-0.11632011327342627,9.0,167.0,1.0,1.0
6360.0,0.003077510078582239,0.07701083162508887,-0.07393332154650663,4.0,106.0,1.0,8.0
6365.0,-4.14429790121353e-06,0.059630511811959865,-0.05963465610986108,1.0,81.0,1.0,8.0
6370.0,0.031759415984423986,0.21485682286660202,-0.18309740688217802,4.0,288.0,1.0,1.0
6375.0,-1.5195764029313824e-05,0.4748161561612173,-0.4748313519252466,11.0,628.0,9.0,507.0
6380.0,0.005021903616844993,0.24139169789372042,-0.23636979427687543,3.0,315.0,1.0,10.0
6385.0,-2.6937945470645307e-05,0.03495526155800514,-0.03498219950347579,13.0,45.0,1.0,23.0
6390.0,-2.7974014200521655e-05,0.04409825201262231,-0.04412622602682283,9.0,56.0,4.0,12.0
6395.0,-1.8649341474569135e-05,1.8179226824109642,-1.8179413317524389,8.0,2277.0,1.0,8.0
6400.0,-4.4723896854478295e-05,0.709965801639194,-0.7100105255360485,37.0,877.0,2.0,2.0
6405.0,0.00432062993806603,0.11917254302253621,-0.11485191308447018,5.0,119.0,6.0,69.0
6410.0,0.012261225316444349,0.19808620650870676,-0.1858249811922624,14.0,195.0,4.0,50.0
6415.0,0.017797270464652636,0.17106648544101263,-0.15326921497636,2.0,166.0,1.0,73.0
6420.0,-2.0721497029120976e-05,0.21119947122048693,-0.21122019271751605,8.0,202.0,1.0,1.0
6425.0,-5.1285690265789833e-05,0.36282937493770023,-0.36288066062796603,22.0,342.0,5.0,1.0
6430.0,0.028914487769807633,0.15287961119482213,-0.12396512342501449,12.0,142.0,1.0,87.0
6435.0,0.00469082849831329,0.18138652033119743,-0.17669569183288414,5.0,166.0,9.0,74.0
6440.0,0.008563440253388776,0.15306056815239183,-0.14449712789900304,9.0,138.0,2.0,7.0
