strike,call_gamma,put_gamma,call_delta,put_delta,call_oi,put_oi,call_vol,put_vol,call_iv,put_iv,call_last,put_last
200.0,-5.849165185101956e-07,,0.9999999991067097,,784.0,820.0,2.0,1.0,8.973395429508083e-05,,6576.25,0.05
400.0,-1.949723321631257e-07,0.0,1.0000000008932903,0.0,25.0,15.0,1.0,4.0,8.973395389098351e-05,8.973280119046655e-05,6203.12,0.05
600.0,-4.874305795063608e-07,0.0,1.0,0.0,0.0,1108.0,2.0,1.0,8.973395357827449e-05,8.973280105269222e-05,6102.92,0.03
800.0,9.748605855236762e-08,0.0,1.000000000595527,0.0,6.0,2130.0,2.0,30.0,8.973395321624638e-05,8.97328008923366e-05,5920.11,0.05
1000.0,-1.9497219121493446e-07,0.0,1.0000000002977634,0.0,844.0,3838.0,3.0,1.0,8.973395289436694e-05,8.973280072424045e-05,5554.3,0.03
1200.0,-9.748602351732399e-08,0.0,0.9999999997022365,0.0,67.0,866.0,1.0,6.0,8.97339525866547e-05,8.973280057954873e-05,5789.41,0.08
1400.0,1.7549432105487913e-06,0.0,1.000000002977799,0.0,19.0,363.0,3.0,3.0,8.973147795704926e-05,8.972987962311447e-05,5738.9,0.05
1600.0,7.270017043213474e-14,0.0,0.9999999991066603,0.0,0.0,462.0,,9.0,8.973147773854933e-05,8.972987947058584e-05,,0.05
1800.0,-3.8998737971975935e-07,0.0,0.9999999991066603,0.0,1.0,413.0,1.0,1.0,8.97314775154599e-05,8.972987931739205e-05,5105.24,0.13
2000.0,2.924905996147039e-07,0.0,0.9999999994044402,0.0,13.0,246.0,1.0,1.0,8.973147735169303e-05,8.972987915861923e-05,4987.65,0.05
2200.0,-1.9499367350318888e-07,0.0,0.9999999997022201,0.0,1.0,501.0,1.0,20.0,8.973147713810686e-05,8.972987897443746e-05,4936.37,0.05
2300.0,-9.7486210812888e-08,0.0,1.0,0.0,0.0,292.0,,5.0,8.973395002430643e-05,8.973279971697727e-05,,0.05
2400.0,1.7549433396178785e-06,0.0,1.000000002680019,0.0,1.0,1689.0,1.0,926.0,8.97314765005992e-05,8.972987883090508e-05,4475.82,0.12
2500.0,4.874305881045579e-07,0.0,1.000000000595527,0.0,0.0,8461.0,,1.0,8.9733949441365e-05,8.973279943400406e-05,,0.05
2600.0,-1.9499378598811268e-07,0.0,1.0,0.0,23.0,666.0,1.0,44.0,8.97314763139181e-05,8.972987868687381e-05,4001.33,0.15
2700.0,2.924584222283969e-07,0.0,0.9999999997022365,0.0,0.0,7351.0,2.0,6.0,8.973394885375936e-05,8.973279916952159e-05,4290.38,0.05
2800.0,-1.1699622845765794e-06,0.0,0.9999999982133205,0.0,0.0,479.0,,242.0,8.9731476138902e-05,8.972987850977595e-05,,0.07
2900.0,4.874305648868488e-07,0.0,1.000000001191054,0.0,0.0,6966.0,30.0,6.0,8.973394824190987e-05,8.97327986057535e-05,3452.82,0.05
3000.0,4.874842872606329e-07,0.0,1.0000000002977798,0.0,14.0,722.0,2.0,27.0,8.97314759428091e-05,8.972987830101665e-05,4049.05,0.05
3100.0,4.874299908927163e-08,4.839621994861713e-07,1.0000000007444088,-0.00024198177959614136,0.0,5944.0,,3.0,8.973394752709887e-05,19.632995750410892,,0.05
3200.0,1.4624526876079326e-07,4.399534969705988e-07,1.0000000005955598,-0.00020663791528085007,1.0,831.0,1.0,16.0,8.973147572164026e-05,18.736774665266537,3531.89,0.05
3300.0,3.89987469795298e-07,5.596967748883227e-07,1.00000000029778,-0.0002608959571591537,0.0,455.0,,75.0,8.973147554287439e-05,18.19553384255344,,0.1
3400.0,9.749682231427439e-08,6.023422950906328e-07,1.00000000029778,-0.00027098867986946563,0.0,1044.0,,1.0,8.973147539151248e-05,17.50917809428071,,0.03
3450.0,4.874307319948093e-08,7.183328886913795e-07,1.0000000001488818,-0.0003244248125174902,2.0,3091.0,4.0,2.0,8.97339462470055e-05,17.33317166846536,3070.27,0.05
3500.0,5.362326759073643e-07,7.455284929286646e-07,1.0000000013400097,-0.00033071339396811524,0.0,1752.0,,1.0,8.973147476883752e-05,17.00185644182025,,0.05
3550.0,5.361736664681397e-07,4.5974775040004335e-07,1.0000000004466454,-0.00018373534352715944,0.0,3319.0,1.0,6.0,8.973394567506357e-05,16.17686919500825,2972.7,0.05
3600.0,-2.9249065384525845e-07,5.902851011785597e-07,1.0,-0.000240480141879009,0.0,1870.0,,2.0,8.973147462630539e-05,16.038986017966586,,0.05
3650.0,6.824028963688783e-07,9.386086273341196e-07,1.0000000007444088,-0.0004015990733641825,0.0,2570.0,,6.0,8.973394511519367e-05,16.189292666785406,,0.1
3700.0,9.749689703484091e-08,6.364853044236629e-07,1.00000000029778,-0.000249994312372427,1.0,1399.0,1.0,2.0,8.973147447377945e-05,15.41177988305783,3415.07,0.05
3750.0,1.4622926246121805e-07,1.1206149658295412e-06,0.9999999997022365,-0.0004697220805066487,0.0,2300.0,,4.0,8.973394423153205e-05,15.717608294692962,,0.32
3800.0,2.437420992071421e-07,5.544976169545578e-07,1.0000000010422296,-0.00020229862371755838,0.0,2659.0,,2.0,8.97314741183346e-05,14.649129251789141,,0.05
3850.0,4.3873589625690225e-07,8.460547949350767e-07,1.0000000007444498,-0.00032286871300265445,0.0,6.0,,,8.97314739683861e-05,14.653592387441362,,
3900.0,3.8998748474619727e-07,5.98741330729308e-07,1.00000000029778,-0.00021042475472406492,0.0,2406.0,,1.0,8.973147379978029e-05,14.056769132616633,,0.05
3950.0,9.749689875217447e-08,6.224530465679977e-07,1.00000000014889,-0.00021465741944474517,0.0,18.0,,5.0,8.973147365983391e-05,13.766292307247742,,0.05
3975.0,1.9497236429503638e-07,1.6855456938352296e-06,0.9999999995533546,-0.000677322021174303,0.0,1066.0,,6.0,8.973393815912164e-05,14.812943206464322,,1.63
4000.0,4.387358667256357e-07,6.473145847682556e-07,1.0000000004466698,-0.00021901037579801186,123.0,2816.0,2.0,1.0,8.973147326315008e-05,13.479489453402957,3124.27,0.05
4025.0,-3.412015047460717e-07,6.601994912089538e-07,0.9999999994044728,-0.0002212337737195053,1.0,1040.0,2.0,51.0,8.973393765873061e-05,13.337003033398439,2667.75,0.05
4050.0,9.74968273652516e-08,8.35614194771348e-07,1.0,-0.0002875344025869101,0.0,89.0,,15.0,8.973147307463983e-05,13.343665424682571,,0.27
4075.0,-1.9497233218906855e-07,1.9381117673981446e-06,1.0000000001488818,-0.0007594124768356714,0.0,1154.0,,6.0,8.973393717824349e-05,14.37842044511174,,0.95
4100.0,4.874845018424423e-08,7.007899097030717e-07,1.0,-0.0002281008855997371,17.0,1101.0,4.0,16.0,8.973147292903141e-05,12.916542196309114,3018.17,0.03
4125.0,-3.412015121697874e-07,2.1302056184603245e-06,0.9999999994044728,-0.0008290615774376641,0.0,943.0,,4.0,8.973393671617201e-05,14.238277398341525,,0.2
