strike,call_gamma,put_gamma,call_delta,put_delta,call_oi,put_oi,call_vol,put_vol,call_iv,put_iv,call_last,put_last
200.0,4.391080841938426e-09,,1.0000000000893718,,784.0,820.0,2.0,1.0,0.00023215723833391828,,6576.25,0.05
400.0,8.782167149578487e-09,0.0,1.000000000044686,0.0,25.0,15.0,1.0,4.0,0.00023215723818049576,0.00023215640639486835,6203.12,0.05
600.0,-4.391069943840002e-09,0.0,0.9999999997765703,0.0,0.0,1108.0,2.0,1.0,0.00023215723802836187,0.00023215640632232807,6102.92,0.03
800.0,-2.1955409759675467e-08,5.102923877002348e-08,0.9999999997765703,-5.802600143147301e-05,6.0,2130.0,2.0,30.0,0.00023215723782445084,18.903772901840487,5920.11,0.05
1000.0,4.391086321233905e-09,9.319800628401419e-08,1.0,-0.00010168596087504771,844.0,3838.0,3.0,1.0,0.00023215723768609678,17.689277715364135,5554.3,0.03
1200.0,4.39105905117902e-09,7.748540357206348e-08,1.0000000002234297,-7.254414956549599e-05,67.0,866.0,1.0,6.0,0.0002321572375666128,15.374662907571778,5789.41,0.08
1400.0,1.7564502691547204e-08,1.3599471986329083e-07,1.0000000001340585,-0.0001244090702827641,19.0,363.0,8.0,3.0,0.00023215453896053228,14.655627841076514,5181.5,0.05
1600.0,4.391129768105185e-09,1.6102779293967436e-07,0.9999999999553139,-0.0001360622350971032,0.0,462.0,,9.0,0.00023215453885479478,13.456513293053515,,0.05
1800.0,2.19557852322542e-09,1.6052221327237492e-07,0.9999999999106277,-0.00012217993382588338,1.0,413.0,1.0,1.0,0.000232154538739786,12.260300914870083,5105.24,0.13
2000.0,-4.391107957527553e-09,1.8724911075012424e-07,0.9999999998659416,-0.000132471585857664,13.0,246.0,1.0,1.0,0.00023215453861846568,11.350291103078588,4987.65,0.05
2200.0,-3.7324567682120294e-08,2.174242809000947e-07,0.9999999996425107,-0.00014324833050466705,1.0,501.0,3.0,20.0,0.00023215453851137524,10.528099693509654,4727.8,0.05
2300.0,8.782189066760609e-09,1.8882529173437544e-07,0.9999999999553141,-0.00011591277671902168,0.0,292.0,,5.0,0.00023215723689590096,9.843058554827396,,0.05
2400.0,-2.1955676203156247e-09,3.406955306083606e-07,0.9999999999553139,-0.00022014125876995472,1.0,1689.0,1.0,926.0,0.00023215453838702768,9.90495887736895,4475.82,0.12
2500.0,2.1955459070616486e-09,2.705984898584805e-07,1.0,-0.00016056606533602097,0.0,8461.0,,1.0,0.00023215723668181578,9.392271903688203,,0.05
2600.0,8.782265034565585e-09,3.9406486769259406e-07,1.0,-0.00023752263719482397,23.0,666.0,1.0,44.0,0.0002321545382668996,9.188254555007639,4001.33,0.15
2700.0,-1.317325364753219e-08,3.1249525546606433e-07,0.9999999998212562,-0.0001730480188709621,0.0,7351.0,2.0,6.0,0.00023215723646386783,8.709347206583276,4290.38,0.05
2800.0,-6.5866865096408155e-09,3.357305621821549e-07,0.9999999999106277,-0.0001796132219406792,0.0,479.0,,242.0,0.00023215453815656018,8.387114281096782,,0.07
2900.0,-1.536878322273904e-08,2.918719435756248e-07,0.9999999998212562,-0.00014533045614337315,0.0,6966.0,30.0,6.0,0.0002321572362467265,7.902169905833852,3452.82,0.05
3000.0,-8.782237777970637e-09,3.876362261870378e-07,0.9999999997765692,-0.00019350949388197296,14.0,722.0,2.0,27.0,0.0002321545380374926,7.7754959225153,4049.05,0.05
3100.0,3.293307969800584e-09,4.927172302431796e-07,1.000000000044686,-0.00024420535228355806,0.0,5944.0,,3.0,0.00023215723600775542,7.5502283293793555,,0.05
3200.0,-5.488897253465756e-09,4.479962812464042e-07,0.9999999998659416,-0.00020855377989077243,1.0,831.0,1.0,16.0,0.00023215453791781444,7.203696541517766,3531.89,0.05
3300.0,2.1955676311910682e-09,5.702263903756888e-07,0.9999999999776569,-0.00026338789204534494,0.0,455.0,,75.0,0.00023215453780068144,6.994664399239941,,0.1
3400.0,-8.782254175157427e-09,6.139322059842927e-07,0.9999999999776569,-0.0002736352095084429,0.0,1044.0,,1.0,0.00023215453761770154,6.729372856706008,,0.03
